,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:58.717000,VER,1,0 days 00:01:41.571000,1.0,1.0,0 days 00:23:26.593000,,,18.707,46.357,,0 days 01:03:12.425000,0 days 01:03:58.784000,274.0,293.0,273.0,239.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:16.863000,2023-04-02 05:03:18.685,24,3.0,False,,False,False,101.571,
1,0 days 01:06:10.822000,VER,1,0 days 00:02:12.105000,2.0,1.0,,,48.846,31.614,51.645,0 days 01:04:47.578000,0 days 01:05:19.192000,0 days 01:06:10.837000,167.0,107.0,253.0,93.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:58.717000,2023-04-02 05:05:00.539,4,3.0,False,,False,False,132.105,132.105
2,0 days 01:08:21.479000,VER,1,0 days 00:02:10.657000,3.0,1.0,,,46.836,29.178,54.643,0 days 01:06:57.673000,0 days 01:07:26.851000,0 days 01:08:21.494000,204.0,162.0,289.0,133.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:06:10.822000,2023-04-02 05:07:12.644,4,3.0,False,,False,False,130.657,130.65699999999998
3,0 days 01:09:44.870000,VER,1,0 days 00:01:23.391000,4.0,1.0,,,28.9,18.326,36.165,0 days 01:08:50.394000,0 days 01:09:08.720000,0 days 01:09:44.885000,280.0,296.0,288.0,303.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:08:21.479000,2023-04-02 05:09:23.301,1,3.0,False,,False,False,83.391,83.39099999999999
4,0 days 01:11:07.974000,VER,1,0 days 00:01:23.104000,5.0,1.0,,,28.935,18.347,35.822,0 days 01:10:13.820000,0 days 01:10:32.167000,0 days 01:11:07.989000,273.0,294.0,290.0,286.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:09:44.870000,2023-04-02 05:10:46.692,1,3.0,False,,False,True,83.104,83.104
5,0 days 01:12:30.817000,VER,1,0 days 00:01:22.843000,6.0,1.0,,,28.986,17.951,35.906,0 days 01:11:36.975000,0 days 01:11:54.926000,0 days 01:12:30.832000,276.0,322.0,304.0,296.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:11:07.974000,2023-04-02 05:12:09.796,1,3.0,False,,False,True,82.843,82.84299999999999
6,0 days 01:14:05.887000,VER,1,0 days 00:01:35.070000,7.0,1.0,,,28.798,18.011,48.261,0 days 01:12:59.630000,0 days 01:13:17.641000,0 days 01:14:05.902000,274.0,319.0,165.0,306.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:12:30.817000,2023-04-02 05:13:32.639,24,2.0,False,,False,False,95.07,95.07
7,0 days 01:32:06.843000,VER,1,,8.0,1.0,,0 days 01:16:44.650000,48.876,45.642,,0 days 01:14:54.792000,0 days 01:15:40.525000,,92.0,144.0,,210.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:14:05.887000,2023-04-02 05:15:07.709,45,2.0,False,,False,False,,
8,0 days 01:35:48.222000,VER,1,,9.0,2.0,0 days 01:32:09.671000,,54.215,52.945,,0 days 01:33:00.748000,0 days 01:33:53.763000,,117.0,144.0,2.0,179.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:31:58.608000,2023-04-02 05:33:00.430,1,2.0,False,,False,False,,
9,0 days 01:37:16.049000,VER,1,0 days 00:01:27.827000,10.0,2.0,,,33.323,18.633,35.871,0 days 01:36:21.560000,0 days 01:36:40.193000,0 days 01:37:16.064000,276.0,288.0,288.0,242.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:35:48.222000,2023-04-02 05:36:50.044,1,2.0,False,,False,True,87.827,87.827
10,0 days 01:38:39.509000,VER,1,0 days 00:01:23.460000,11.0,2.0,,,29.054,18.556,35.85,0 days 01:37:45.118000,0 days 01:38:03.674000,0 days 01:38:39.524000,270.0,292.0,289.0,288.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:37:16.049000,2023-04-02 05:38:17.871,1,2.0,False,,False,True,83.46,83.46000000000001
11,0 days 01:40:01.503000,VER,1,0 days 00:01:21.994000,12.0,2.0,,,28.827,18.134,35.033,0 days 01:39:08.351000,0 days 01:39:26.485000,0 days 01:40:01.518000,281.0,321.0,287.0,293.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:38:39.509000,2023-04-02 05:39:41.331,1,1.0,False,,False,True,81.994,81.994
12,0 days 01:41:24.789000,VER,1,0 days 00:01:23.286000,13.0,2.0,,,28.876,18.642,35.768,0 days 01:40:30.394000,0 days 01:40:49.036000,0 days 01:41:24.804000,272.0,287.0,286.0,281.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:40:01.503000,2023-04-02 05:41:03.325,1,1.0,False,,False,True,83.286,83.286
13,0 days 01:42:47.658000,VER,1,0 days 00:01:22.869000,14.0,2.0,,,28.769,18.604,35.496,0 days 01:41:53.573000,0 days 01:42:12.177000,0 days 01:42:47.673000,275.0,290.0,287.0,293.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:41:24.789000,2023-04-02 05:42:26.611,1,1.0,False,,False,True,82.869,82.869
14,0 days 01:44:10.475000,VER,1,0 days 00:01:22.817000,15.0,2.0,,,28.785,18.527,35.505,0 days 01:43:16.458000,0 days 01:43:34.985000,0 days 01:44:10.490000,274.0,290.0,286.0,290.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:42:47.658000,2023-04-02 05:43:49.480,1,1.0,False,,False,True,82.817,82.81700000000001
15,0 days 01:45:33.074000,VER,1,0 days 00:01:22.599000,16.0,2.0,,,28.696,18.502,35.401,0 days 01:44:39.186000,0 days 01:44:57.688000,0 days 01:45:33.089000,276.0,291.0,286.0,292.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:44:10.475000,2023-04-02 05:45:12.297,1,1.0,False,,False,True,82.599,82.599
16,0 days 01:46:55.669000,VER,1,0 days 00:01:22.595000,17.0,2.0,,,28.6,18.529,35.466,0 days 01:46:01.689000,0 days 01:46:20.218000,0 days 01:46:55.684000,,290.0,286.0,294.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:45:33.074000,2023-04-02 05:46:34.896,1,1.0,False,,False,True,82.595,82.595
17,0 days 01:48:35.984000,VER,1,0 days 00:01:40.315000,18.0,2.0,,,28.525,24.481,47.309,0 days 01:47:24.209000,0 days 01:47:48.690000,0 days 01:48:35.999000,,222.0,165.0,292.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:46:55.669000,2023-04-02 05:47:57.491,6,1.0,False,,False,False,100.315,100.315
18,0 days 01:50:19.734000,VER,1,0 days 00:01:43.750000,19.0,2.0,,,39.394,26.616,37.74,0 days 01:49:15.393000,0 days 01:49:42.009000,0 days 01:50:19.749000,239.0,250.0,286.0,194.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:48:35.984000,2023-04-02 05:49:37.806,67,1.0,False,,False,False,103.75,103.75
19,0 days 01:51:42.123000,VER,1,0 days 00:01:22.389000,20.0,2.0,,,28.643,18.603,35.143,0 days 01:50:48.392000,0 days 01:51:06.995000,0 days 01:51:42.138000,270.0,284.0,287.0,286.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:50:19.734000,2023-04-02 05:51:21.556,1,1.0,False,,False,True,82.389,82.38900000000001
20,0 days 01:53:04.233000,VER,1,0 days 00:01:22.110000,21.0,2.0,,,28.596,18.437,35.077,0 days 01:52:10.734000,0 days 01:52:29.171000,0 days 01:53:04.248000,274.0,285.0,288.0,285.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:51:42.123000,2023-04-02 05:52:43.945,1,1.0,False,,False,True,82.11,82.11
