,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:40.504000,VER,1,0 days 00:01:55.659000,1.0,1.0,0 days 00:16:30.801000,,,49.787,29.968,,0 days 01:04:10.613000,0 days 01:04:40.504000,319.0,196.0,212.0,298.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:44.614000,2023-07-30 13:03:45.833,1,4.0,False,,False,False,115.659,
1,0 days 01:06:33.607000,VER,1,0 days 00:01:53.103000,2.0,1.0,,,32.291,50.712,30.1,0 days 01:05:12.795000,0 days 01:06:03.507000,0 days 01:06:33.607000,302.0,194.0,211.0,307.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:40.504000,2023-07-30 13:05:41.723,2,4.0,False,,False,True,113.103,113.10300000000001
2,0 days 01:08:25.884000,VER,1,0 days 00:01:52.277000,3.0,1.0,,,31.758,50.325,30.194,0 days 01:07:05.365000,0 days 01:07:55.690000,0 days 01:08:25.884000,323.0,184.0,213.0,,True,SOFT,3.0,True,Red Bull Racing,0 days 01:06:33.607000,2023-07-30 13:07:34.826,2,4.0,False,,False,True,112.277,112.277
3,0 days 01:10:18.673000,VER,1,0 days 00:01:52.789000,4.0,1.0,,,31.881,50.599,30.309,0 days 01:08:57.765000,0 days 01:09:48.364000,0 days 01:10:18.673000,325.0,187.0,212.0,308.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:08:25.884000,2023-07-30 13:09:27.103,1,4.0,False,,False,True,112.789,112.78899999999999
4,0 days 01:12:11.275000,VER,1,0 days 00:01:52.602000,5.0,1.0,,,32.001,50.201,30.4,0 days 01:10:50.674000,0 days 01:11:40.875000,0 days 01:12:11.275000,,179.0,211.0,307.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:10:18.673000,2023-07-30 13:11:19.892,1,4.0,False,,False,True,112.602,112.602
5,0 days 01:14:03.405000,VER,1,0 days 00:01:52.130000,6.0,1.0,,,31.967,49.818,30.345,0 days 01:12:43.242000,0 days 01:13:33.060000,0 days 01:14:03.405000,341.0,188.0,209.0,308.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:12:11.275000,2023-07-30 13:13:12.494,1,3.0,False,,False,True,112.13,112.13
6,0 days 01:15:55.820000,VER,1,0 days 00:01:52.415000,7.0,1.0,,,32.639,49.487,30.289,0 days 01:14:36.044000,0 days 01:15:25.531000,0 days 01:15:55.820000,305.0,186.0,209.0,305.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:14:03.405000,2023-07-30 13:15:04.624,1,3.0,False,,False,True,112.415,112.415
7,0 days 01:17:48.292000,VER,1,0 days 00:01:52.472000,8.0,1.0,,,32.299,49.833,30.34,0 days 01:16:28.119000,0 days 01:17:17.952000,0 days 01:17:48.292000,327.0,185.0,209.0,304.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:15:55.820000,2023-07-30 13:16:57.039,1,3.0,False,,False,True,112.472,112.47200000000001
8,0 days 01:19:40.172000,VER,1,0 days 00:01:51.880000,9.0,1.0,,,32.023,49.462,30.395,0 days 01:18:20.315000,0 days 01:19:09.777000,0 days 01:19:40.172000,339.0,188.0,209.0,307.0,True,SOFT,9.0,True,Red Bull Racing,0 days 01:17:48.292000,2023-07-30 13:18:49.511,1,2.0,False,,False,True,111.88,111.88000000000001
9,0 days 01:21:32.627000,VER,1,0 days 00:01:52.455000,10.0,1.0,,,32.711,49.261,30.483,0 days 01:20:12.883000,0 days 01:21:02.144000,0 days 01:21:32.627000,304.0,186.0,208.0,302.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:19:40.172000,2023-07-30 13:20:41.391,1,2.0,False,,False,True,112.455,112.45500000000001
10,0 days 01:23:25.240000,VER,1,0 days 00:01:52.613000,11.0,1.0,,,32.883,49.361,30.369,0 days 01:22:05.510000,0 days 01:22:54.871000,0 days 01:23:25.240000,307.0,187.0,210.0,295.0,False,SOFT,11.0,True,Red Bull Racing,0 days 01:21:32.627000,2023-07-30 13:22:33.846,1,2.0,False,,False,True,112.613,112.613
11,0 days 01:25:17.954000,VER,1,0 days 00:01:52.714000,12.0,1.0,,,32.711,49.661,30.342,0 days 01:23:57.951000,0 days 01:24:47.612000,0 days 01:25:17.954000,305.0,187.0,210.0,303.0,False,SOFT,12.0,True,Red Bull Racing,0 days 01:23:25.240000,2023-07-30 13:24:26.459,1,2.0,False,,False,True,112.714,112.714
12,0 days 01:27:10.916000,VER,1,0 days 00:01:52.962000,13.0,1.0,,,32.883,49.588,30.491,0 days 01:25:50.837000,0 days 01:26:40.425000,0 days 01:27:10.916000,,186.0,208.0,296.0,False,SOFT,13.0,True,Red Bull Racing,0 days 01:25:17.954000,2023-07-30 13:26:19.173,1,1.0,False,,False,True,112.962,112.962
