,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:54.806000,VER,1,0 days 00:01:51.307000,1.0,1.0,0 days 00:25:08.250000,,,31.809,46.739,,0 days 01:03:08.081000,0 days 01:03:54.871000,196.0,243.0,195.0,100.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:02:03.225000,2022-04-24 13:03:03.238,24,1.0,False,,False,False,111.307,
1,0 days 01:06:20.801000,VER,1,0 days 00:02:25.995000,2.0,1.0,,,54.085,47.41,44.5,0 days 01:04:48.891000,0 days 01:05:36.301000,0 days 01:06:20.801000,171.0,145.0,194.0,133.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:03:54.806000,2022-04-24 13:04:54.819,4,1.0,False,,False,False,145.995,145.995
2,0 days 01:08:37.301000,VER,1,0 days 00:02:16.500000,3.0,1.0,,,45.833,46.168,44.499,0 days 01:07:06.634000,0 days 01:07:52.802000,0 days 01:08:37.301000,,160.0,199.0,164.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 01:06:20.801000,2022-04-24 13:07:20.814,4,1.0,False,,False,False,136.5,136.5
3,0 days 01:11:04.728000,VER,1,0 days 00:02:27.427000,4.0,1.0,,,42.546,48.335,56.546,0 days 01:09:19.847000,0 days 01:10:08.182000,0 days 01:11:04.728000,176.0,90.0,264.0,101.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 01:08:37.301000,2022-04-24 13:09:37.314,4,1.0,False,,False,False,147.427,147.427
4,0 days 01:12:36.178000,VER,1,0 days 00:01:31.450000,5.0,1.0,,,29.619,30.801,31.03,0 days 01:11:34.347000,0 days 01:12:05.148000,0 days 01:12:36.178000,198.0,246.0,265.0,273.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 01:11:04.728000,2022-04-24 13:12:04.741,1,1.0,False,,False,False,91.45,91.45
5,0 days 01:14:06.622000,VER,1,0 days 00:01:30.444000,6.0,1.0,,,28.916,30.794,30.734,0 days 01:13:05.094000,0 days 01:13:35.888000,0 days 01:14:06.622000,202.0,245.0,264.0,259.0,True,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 01:12:36.178000,2022-04-24 13:13:36.191,1,1.0,False,,False,True,90.444,90.444
6,0 days 01:15:36.741000,VER,1,0 days 00:01:30.119000,7.0,1.0,,,28.78,30.578,30.761,0 days 01:14:35.402000,0 days 01:15:05.980000,0 days 01:15:36.741000,203.0,245.0,265.0,274.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 01:14:06.622000,2022-04-24 13:15:06.635,1,1.0,False,,False,True,90.119,90.119
7,0 days 01:17:06.918000,VER,1,0 days 00:01:30.177000,8.0,1.0,,,28.711,30.861,30.605,0 days 01:16:05.452000,0 days 01:16:36.313000,0 days 01:17:06.918000,,245.0,266.0,274.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 01:15:36.741000,2022-04-24 13:16:36.754,1,1.0,False,,False,True,90.177,90.177
8,0 days 01:18:36.835000,VER,1,0 days 00:01:29.917000,9.0,1.0,,,28.558,30.752,30.607,0 days 01:17:35.476000,0 days 01:18:06.228000,0 days 01:18:36.835000,204.0,246.0,266.0,279.0,True,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 01:17:06.918000,2022-04-24 13:18:06.931,1,1.0,False,,False,True,89.917,89.917
9,0 days 01:20:07.186000,VER,1,0 days 00:01:30.351000,10.0,1.0,,,28.502,30.986,30.863,0 days 01:19:05.337000,0 days 01:19:36.323000,0 days 01:20:07.186000,205.0,245.0,264.0,278.0,False,INTERMEDIATE,10.0,True,Red Bull Racing,0 days 01:18:36.835000,2022-04-24 13:19:36.848,1,1.0,False,,False,True,90.351,90.351
10,0 days 01:21:37.525000,VER,1,0 days 00:01:30.339000,11.0,1.0,,,28.559,31.02,30.76,0 days 01:20:35.745000,0 days 01:21:06.765000,0 days 01:21:37.525000,,245.0,264.0,277.0,False,INTERMEDIATE,11.0,True,Red Bull Racing,0 days 01:20:07.186000,2022-04-24 13:21:07.199,1,1.0,False,,False,True,90.339,90.339
11,0 days 01:23:08.494000,VER,1,0 days 00:01:30.969000,12.0,1.0,,,28.74,31.237,30.992,0 days 01:22:06.265000,0 days 01:22:37.502000,0 days 01:23:08.494000,202.0,245.0,265.0,280.0,False,INTERMEDIATE,12.0,True,Red Bull Racing,0 days 01:21:37.525000,2022-04-24 13:22:37.538,1,1.0,False,,False,True,90.969,90.969
12,0 days 01:24:39.819000,VER,1,0 days 00:01:31.325000,13.0,1.0,,,28.837,31.266,31.222,0 days 01:23:37.331000,0 days 01:24:08.597000,0 days 01:24:39.819000,,245.0,265.0,272.0,False,INTERMEDIATE,13.0,True,Red Bull Racing,0 days 01:23:08.494000,2022-04-24 13:24:08.507,1,1.0,False,,False,True,91.325,91.32499999999999
13,0 days 01:26:11.708000,VER,1,0 days 00:01:31.889000,14.0,1.0,,,28.845,31.514,31.53,0 days 01:25:08.664000,0 days 01:25:40.178000,0 days 01:26:11.708000,203.0,242.0,265.0,276.0,False,INTERMEDIATE,14.0,True,Red Bull Racing,0 days 01:24:39.819000,2022-04-24 13:25:39.832,1,1.0,False,,False,True,91.889,91.889
14,0 days 01:27:43.747000,VER,1,0 days 00:01:32.039000,15.0,1.0,,,28.888,31.641,31.51,0 days 01:26:40.596000,0 days 01:27:12.237000,0 days 01:27:43.747000,199.0,242.0,265.0,274.0,False,INTERMEDIATE,15.0,True,Red Bull Racing,0 days 01:26:11.708000,2022-04-24 13:27:11.721,1,1.0,False,,False,True,92.039,92.039
15,0 days 01:29:15.819000,VER,1,0 days 00:01:32.072000,16.0,1.0,,,28.982,31.717,31.373,0 days 01:28:12.729000,0 days 01:28:44.446000,0 days 01:29:15.819000,201.0,242.0,266.0,278.0,False,INTERMEDIATE,16.0,True,Red Bull Racing,0 days 01:27:43.747000,2022-04-24 13:28:43.760,1,1.0,False,,False,True,92.072,92.072
16,0 days 01:30:47.898000,VER,1,0 days 00:01:32.079000,17.0,1.0,,,29.012,31.685,31.382,0 days 01:29:44.831000,0 days 01:30:16.516000,0 days 01:30:47.898000,191.0,244.0,266.0,275.0,False,INTERMEDIATE,17.0,True,Red Bull Racing,0 days 01:29:15.819000,2022-04-24 13:30:15.832,1,1.0,False,,False,True,92.079,92.07900000000001
17,0 days 01:32:19.338000,VER,1,0 days 00:01:31.440000,18.0,1.0,,,28.901,31.523,31.016,0 days 01:31:16.799000,0 days 01:31:48.322000,0 days 01:32:19.338000,199.0,245.0,267.0,279.0,False,INTERMEDIATE,18.0,True,Red Bull Racing,0 days 01:30:47.898000,2022-04-24 13:31:47.911,1,1.0,False,,False,True,91.44,91.44
18,0 days 01:33:54.606000,VER,1,0 days 00:01:35.268000,19.0,1.0,,0 days 01:33:50.145000,28.695,31.325,35.248,0 days 01:32:48.033000,0 days 01:33:19.358000,0 days 01:33:54.606000,200.0,245.0,,281.0,False,INTERMEDIATE,19.0,True,Red Bull Racing,0 days 01:32:19.338000,2022-04-24 13:33:19.351,1,1.0,False,,False,False,95.268,95.268
19,0 days 01:35:49.344000,VER,1,0 days 00:01:54.738000,20.0,2.0,0 days 01:34:20.253000,,54.051,30.671,30.016,0 days 01:34:48.657000,0 days 01:35:19.328000,0 days 01:35:49.344000,202.0,250.0,270.0,278.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:33:54.606000,2022-04-24 13:34:54.619,1,1.0,False,,False,False,114.738,114.738
20,0 days 01:37:14.795000,VER,1,0 days 00:01:25.451000,21.0,2.0,,,27.654,29.187,28.61,0 days 01:36:16.998000,0 days 01:36:46.185000,0 days 01:37:14.795000,208.0,252.0,272.0,281.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:35:49.344000,2022-04-24 13:36:49.357,1,1.0,False,,False,True,85.451,85.451
21,0 days 01:38:38.589000,VER,1,0 days 00:01:23.794000,22.0,2.0,,,27.07,28.586,28.138,0 days 01:37:41.865000,0 days 01:38:10.451000,0 days 01:38:38.589000,,251.0,272.0,288.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:37:14.795000,2022-04-24 13:38:14.808,1,1.0,False,,False,True,83.794,83.794
22,0 days 01:40:01.458000,VER,1,0 days 00:01:22.869000,23.0,2.0,,,26.878,28.284,27.707,0 days 01:39:05.467000,0 days 01:39:33.751000,0 days 01:40:01.458000,211.0,248.0,273.0,279.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:38:38.589000,2022-04-24 13:39:38.602,1,1.0,False,,False,True,82.869,82.869
23,0 days 01:41:23.909000,VER,1,0 days 00:01:22.451000,24.0,2.0,,,26.411,28.233,27.807,0 days 01:40:27.869000,0 days 01:40:56.102000,0 days 01:41:23.909000,,248.0,274.0,290.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:40:01.458000,2022-04-24 13:41:01.471,1,1.0,False,,False,True,82.451,82.45100000000001
24,0 days 01:42:46.065000,VER,1,0 days 00:01:22.156000,25.0,2.0,,,26.276,27.926,27.954,0 days 01:41:50.185000,0 days 01:42:18.111000,0 days 01:42:46.065000,212.0,229.0,274.0,291.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:41:23.909000,2022-04-24 13:42:23.922,2,1.0,False,,False,True,82.156,82.156
25,0 days 01:44:07.718000,VER,1,0 days 00:01:21.653000,26.0,2.0,,,26.236,27.987,27.43,0 days 01:43:12.301000,0 days 01:43:40.288000,0 days 01:44:07.718000,214.0,253.0,276.0,289.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:42:46.065000,2022-04-24 13:43:46.078,1,1.0,False,,False,True,81.653,81.65299999999999
26,0 days 01:45:28.813000,VER,1,0 days 00:01:21.095000,27.0,2.0,,,26.249,27.758,27.088,0 days 01:44:33.967000,0 days 01:45:01.725000,0 days 01:45:28.813000,,254.0,275.0,287.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:44:07.718000,2022-04-24 13:45:07.731,1,1.0,False,,False,True,81.095,81.095
27,0 days 01:46:49.505000,VER,1,0 days 00:01:20.692000,28.0,2.0,,,25.869,27.788,27.035,0 days 01:45:54.682000,0 days 01:46:22.470000,0 days 01:46:49.505000,215.0,254.0,275.0,291.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:45:28.813000,2022-04-24 13:46:28.826,1,1.0,False,,False,True,80.692,80.692
28,0 days 01:48:10.218000,VER,1,0 days 00:01:20.713000,29.0,2.0,,,25.806,27.797,27.11,0 days 01:47:15.311000,0 days 01:47:43.108000,0 days 01:48:10.218000,216.0,251.0,275.0,292.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:46:49.505000,2022-04-24 13:47:49.518,1,1.0,False,,False,True,80.713,80.713
