,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:28.836000,VER,1,0 days 00:01:23.080000,1.0,1.0,0 days 00:15:58.684000,,,25.105,31.257,,0 days 01:02:57.649000,0 days 01:03:28.914000,250.0,267.0,274.0,300.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:05.478000,2023-06-18 18:03:05.484,1,1.0,False,,False,False,83.08,
1,0 days 01:04:46.911000,VER,1,0 days 00:01:18.075000,2.0,1.0,,,21.686,25.051,31.338,0 days 01:03:50.522000,0 days 01:04:15.573000,0 days 01:04:46.911000,243.0,270.0,275.0,301.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:28.836000,2023-06-18 18:04:28.842,1,1.0,False,,False,True,78.075,78.07499999999999
2,0 days 01:06:04.678000,VER,1,0 days 00:01:17.767000,3.0,1.0,,,21.626,24.909,31.232,0 days 01:05:08.537000,0 days 01:05:33.446000,0 days 01:06:04.678000,246.0,271.0,276.0,300.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:46.911000,2023-06-18 18:05:46.917,1,1.0,False,,False,True,77.767,77.767
3,0 days 01:07:21.881000,VER,1,0 days 00:01:17.203000,4.0,1.0,,,21.438,24.716,31.049,0 days 01:06:26.116000,0 days 01:06:50.832000,0 days 01:07:21.881000,250.0,269.0,276.0,301.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:04.678000,2023-06-18 18:07:04.684,1,1.0,False,,False,True,77.203,77.203
4,0 days 01:08:39.252000,VER,1,0 days 00:01:17.371000,5.0,1.0,,,21.493,24.718,31.16,0 days 01:07:43.374000,0 days 01:08:08.092000,0 days 01:08:39.252000,,268.0,275.0,302.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:21.881000,2023-06-18 18:08:21.887,1,1.0,False,,False,True,77.371,77.371
5,0 days 01:09:56.859000,VER,1,0 days 00:01:17.607000,6.0,1.0,,,21.609,24.763,31.235,0 days 01:09:00.861000,0 days 01:09:25.624000,0 days 01:09:56.859000,239.0,272.0,275.0,301.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:39.252000,2023-06-18 18:09:39.258,1,1.0,False,,False,True,77.607,77.607
6,0 days 01:11:14.424000,VER,1,0 days 00:01:17.565000,7.0,1.0,,,21.6,24.77,31.195,0 days 01:10:18.459000,0 days 01:10:43.229000,0 days 01:11:14.424000,238.0,272.0,276.0,300.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:56.859000,2023-06-18 18:10:56.865,2,1.0,False,,False,True,77.565,77.565
7,0 days 01:12:47.079000,VER,1,0 days 00:01:32.655000,8.0,1.0,,,28.067,33.169,31.419,0 days 01:11:42.491000,0 days 01:12:15.660000,0 days 01:12:47.079000,172.0,229.0,275.0,302.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:14.424000,2023-06-18 18:12:14.430,267,1.0,False,,False,False,92.655,92.655
8,0 days 01:14:04.574000,VER,1,0 days 00:01:17.495000,9.0,1.0,,,21.715,24.787,30.993,0 days 01:13:08.794000,0 days 01:13:33.581000,0 days 01:14:04.574000,238.0,269.0,274.0,303.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:47.079000,2023-06-18 18:13:47.085,1,1.0,False,,False,True,77.495,77.49499999999999
9,0 days 01:15:21.933000,VER,1,0 days 00:01:17.359000,10.0,1.0,,,21.577,24.746,31.036,0 days 01:14:26.151000,0 days 01:14:50.897000,0 days 01:15:21.933000,239.0,269.0,276.0,302.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:14:04.574000,2023-06-18 18:15:04.580,1,1.0,False,,False,True,77.359,77.35900000000001
10,0 days 01:16:39.201000,VER,1,0 days 00:01:17.268000,11.0,1.0,,,21.555,24.68,31.033,0 days 01:15:43.488000,0 days 01:16:08.168000,0 days 01:16:39.201000,240.0,271.0,276.0,302.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:15:21.933000,2023-06-18 18:16:21.939,1,1.0,False,,False,True,77.268,77.268
11,0 days 01:18:12.393000,VER,1,0 days 00:01:33.192000,12.0,1.0,,0 days 01:17:50.274000,21.533,24.637,47.022,0 days 01:17:00.734000,0 days 01:17:25.371000,0 days 01:18:12.393000,,272.0,,302.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:16:39.201000,2023-06-18 18:17:39.207,24,1.0,False,,False,False,93.192,93.19200000000001
12,0 days 01:20:42.304000,VER,1,0 days 00:02:29.911000,13.0,2.0,0 days 01:18:13.899000,,42.511,56.572,50.828,0 days 01:18:54.904000,0 days 01:19:51.476000,0 days 01:20:42.304000,89.0,113.0,184.0,131.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:18:12.393000,2023-06-18 18:19:12.399,4,1.0,False,,False,False,149.911,149.911
13,0 days 01:22:46.943000,VER,1,0 days 00:02:04.639000,14.0,2.0,,,33.84,46.037,44.762,0 days 01:21:16.144000,0 days 01:22:02.181000,0 days 01:22:46.943000,153.0,149.0,161.0,189.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:20:42.304000,2023-06-18 18:21:42.310,4,1.0,False,,False,False,124.639,124.63900000000001
14,0 days 01:24:41.620000,VER,1,0 days 00:01:54.677000,15.0,2.0,,,31.311,40.75,42.616,0 days 01:23:18.254000,0 days 01:23:59.004000,0 days 01:24:41.620000,135.0,141.0,240.0,215.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:22:46.943000,2023-06-18 18:23:46.949,4,1.0,False,,False,False,114.677,114.677
15,0 days 01:26:56.525000,VER,1,0 days 00:02:14.905000,16.0,2.0,,,30.652,35.302,68.951,0 days 01:25:12.272000,0 days 01:25:47.574000,0 days 01:26:56.525000,141.0,214.0,276.0,93.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:24:41.620000,2023-06-18 18:25:41.626,4,1.0,False,,False,False,134.905,134.905
16,0 days 01:28:13.670000,VER,1,0 days 00:01:17.145000,17.0,2.0,,,21.405,24.615,31.125,0 days 01:27:17.930000,0 days 01:27:42.545000,0 days 01:28:13.670000,245.0,269.0,277.0,302.0,True,HARD,5.0,True,Red Bull Racing,0 days 01:26:56.525000,2023-06-18 18:27:56.531,1,1.0,False,,False,False,77.145,77.145
17,0 days 01:29:30.352000,VER,1,0 days 00:01:16.682000,18.0,2.0,,,21.274,24.503,30.905,0 days 01:28:34.944000,0 days 01:28:59.447000,0 days 01:29:30.352000,246.0,271.0,277.0,301.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:28:13.670000,2023-06-18 18:29:13.676,1,1.0,False,,False,True,76.682,76.682
18,0 days 01:30:46.982000,VER,1,0 days 00:01:16.630000,19.0,2.0,,,21.238,24.441,30.951,0 days 01:29:51.590000,0 days 01:30:16.031000,0 days 01:30:46.982000,244.0,271.0,277.0,301.0,True,HARD,7.0,True,Red Bull Racing,0 days 01:29:30.352000,2023-06-18 18:30:30.358,1,1.0,False,,False,True,76.63,76.63
19,0 days 01:32:03.589000,VER,1,0 days 00:01:16.607000,20.0,2.0,,,21.224,24.519,30.864,0 days 01:31:08.206000,0 days 01:31:32.725000,0 days 01:32:03.589000,248.0,271.0,277.0,301.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:30:46.982000,2023-06-18 18:31:46.988,1,1.0,False,,False,True,76.607,76.607
20,0 days 01:33:20.241000,VER,1,0 days 00:01:16.652000,21.0,2.0,,,21.244,24.464,30.944,0 days 01:32:24.833000,0 days 01:32:49.297000,0 days 01:33:20.241000,252.0,271.0,276.0,302.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:32:03.589000,2023-06-18 18:33:03.595,1,1.0,False,,False,True,76.652,76.652
21,0 days 01:34:36.938000,VER,1,0 days 00:01:16.697000,22.0,2.0,,,21.246,24.538,30.913,0 days 01:33:41.487000,0 days 01:34:06.025000,0 days 01:34:36.938000,249.0,269.0,276.0,302.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:33:20.241000,2023-06-18 18:34:20.247,1,1.0,False,,False,True,76.697,76.697
22,0 days 01:35:53.884000,VER,1,0 days 00:01:16.946000,23.0,2.0,,,21.256,24.432,31.258,0 days 01:34:58.194000,0 days 01:35:22.626000,0 days 01:35:53.884000,251.0,271.0,275.0,302.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:34:36.938000,2023-06-18 18:35:36.944,1,1.0,False,,False,True,76.946,76.946
