,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:05.115000,VER,1,0 days 00:01:17.639000,1.0,1.0,0 days 00:13:47.505000,,,31.613,25.44,,0 days 01:02:39.687000,0 days 01:03:05.187000,292.0,233.0,109.0,297.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:01:47.219000,2023-07-02 13:02:48.211,24,1.0,False,,False,False,77.639,
1,0 days 01:05:00.594000,VER,1,0 days 00:01:55.479000,2.0,1.0,,0 days 01:04:57.200000,31.698,46.293,37.488,0 days 01:03:36.813000,0 days 01:04:23.106000,0 days 01:05:00.594000,176.0,184.0,,195.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:05.115000,2023-07-02 13:04:06.107,4,1.0,False,,False,False,115.479,115.479
2,0 days 01:07:05.315000,VER,1,0 days 00:02:04.721000,3.0,2.0,0 days 01:05:13.560000,,37.877,46.298,40.546,0 days 01:05:38.471000,0 days 01:06:24.769000,0 days 01:07:05.315000,191.0,61.0,270.0,236.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 01:05:00.594000,2023-07-02 13:06:01.586,4,1.0,False,,False,False,124.721,124.721
3,0 days 01:08:15.006000,VER,1,0 days 00:01:09.691000,4.0,2.0,,,17.618,30.97,21.103,0 days 01:07:22.933000,0 days 01:07:53.903000,0 days 01:08:15.006000,293.0,230.0,270.0,297.0,True,MEDIUM,4.0,False,Red Bull Racing,0 days 01:07:05.315000,2023-07-02 13:08:06.307,1,1.0,False,,False,False,69.691,69.691
4,0 days 01:09:25.032000,VER,1,0 days 00:01:10.026000,5.0,2.0,,,17.716,31.158,21.152,0 days 01:08:32.722000,0 days 01:09:03.880000,0 days 01:09:25.032000,285.0,230.0,270.0,289.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 01:08:15.006000,2023-07-02 13:09:15.998,1,1.0,False,,False,True,70.026,70.02600000000001
5,0 days 01:10:35.188000,VER,1,0 days 00:01:10.156000,6.0,2.0,,,17.681,31.308,21.167,0 days 01:09:42.713000,0 days 01:10:14.021000,0 days 01:10:35.188000,286.0,231.0,270.0,288.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:09:25.032000,2023-07-02 13:10:26.024,1,1.0,False,,False,True,70.156,70.156
6,0 days 01:11:45.356000,VER,1,0 days 00:01:10.168000,7.0,2.0,,,17.733,31.265,21.17,0 days 01:10:52.921000,0 days 01:11:24.186000,0 days 01:11:45.356000,288.0,228.0,271.0,291.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:10:35.188000,2023-07-02 13:11:36.180,1,1.0,False,,False,True,70.168,70.168
7,0 days 01:12:55.323000,VER,1,0 days 00:01:09.967000,8.0,2.0,,,17.679,31.137,21.151,0 days 01:12:03.035000,0 days 01:12:34.172000,0 days 01:12:55.323000,290.0,229.0,271.0,292.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:11:45.356000,2023-07-02 13:12:46.348,1,1.0,False,,False,True,69.967,69.967
8,0 days 01:14:05.312000,VER,1,0 days 00:01:09.989000,9.0,2.0,,,17.59,31.216,21.183,0 days 01:13:12.913000,0 days 01:13:44.129000,0 days 01:14:05.312000,293.0,230.0,271.0,291.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:12:55.323000,2023-07-02 13:13:56.315,1,1.0,False,,False,True,69.989,69.989
9,0 days 01:15:15.168000,VER,1,0 days 00:01:09.856000,10.0,2.0,,,17.605,31.174,21.077,0 days 01:14:22.917000,0 days 01:14:54.091000,0 days 01:15:15.168000,291.0,228.0,271.0,290.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:14:05.312000,2023-07-02 13:15:06.304,1,1.0,False,,False,True,69.856,69.856
10,0 days 01:16:25.219000,VER,1,0 days 00:01:10.051000,11.0,2.0,,,17.643,31.272,21.136,0 days 01:15:32.811000,0 days 01:16:04.083000,0 days 01:16:25.219000,293.0,228.0,270.0,293.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:15:15.168000,2023-07-02 13:16:16.160,1,1.0,False,,False,True,70.051,70.051
11,0 days 01:17:35.052000,VER,1,0 days 00:01:09.833000,12.0,2.0,,,17.591,31.121,21.121,0 days 01:16:42.810000,0 days 01:17:13.931000,0 days 01:17:35.052000,296.0,230.0,270.0,294.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:16:25.219000,2023-07-02 13:17:26.211,1,1.0,False,,False,True,69.833,69.833
12,0 days 01:18:45.248000,VER,1,0 days 00:01:10.196000,13.0,2.0,,,17.669,31.232,21.295,0 days 01:17:52.721000,0 days 01:18:23.953000,0 days 01:18:45.248000,295.0,229.0,269.0,291.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:17:35.052000,2023-07-02 13:18:36.044,2,1.0,False,,False,True,70.196,70.196
13,0 days 01:19:58.821000,VER,1,0 days 00:01:13.573000,14.0,2.0,,,17.65,31.903,24.02,0 days 01:19:02.898000,0 days 01:19:34.801000,0 days 01:19:58.821000,275.0,229.0,93.0,293.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:18:45.248000,2023-07-02 13:19:46.240,26,1.0,False,,False,False,73.573,73.573
14,0 days 01:21:32.413000,VER,1,0 days 00:01:33.592000,15.0,2.0,,,24.171,40.334,29.087,0 days 01:20:22.992000,0 days 01:21:03.326000,0 days 01:21:32.413000,219.0,203.0,197.0,280.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:19:58.821000,2023-07-02 13:20:59.813,6,1.0,False,,False,False,93.592,93.592
15,0 days 01:22:52.024000,VER,1,0 days 00:01:19.611000,16.0,2.0,,,24.619,33.788,21.204,0 days 01:21:57.032000,0 days 01:22:30.820000,0 days 01:22:52.024000,173.0,231.0,270.0,287.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:21:32.413000,2023-07-02 13:22:33.405,67,1.0,False,,False,False,79.611,79.61099999999999
16,0 days 01:24:01.948000,VER,1,0 days 00:01:09.924000,17.0,2.0,,,17.653,31.205,21.066,0 days 01:23:09.677000,0 days 01:23:40.882000,0 days 01:24:01.948000,299.0,230.0,270.0,290.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:22:52.024000,2023-07-02 13:23:53.016,1,1.0,False,,False,True,69.924,69.92399999999999
17,0 days 01:25:11.950000,VER,1,0 days 00:01:10.002000,18.0,2.0,,,17.681,31.181,21.14,0 days 01:24:19.629000,0 days 01:24:50.810000,0 days 01:25:11.950000,293.0,228.0,271.0,292.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:24:01.948000,2023-07-02 13:25:02.940,1,1.0,False,,False,True,70.002,70.00200000000001
18,0 days 01:26:21.892000,VER,1,0 days 00:01:09.942000,19.0,2.0,,,17.622,31.213,21.107,0 days 01:25:29.572000,0 days 01:26:00.785000,0 days 01:26:21.892000,295.0,228.0,270.0,292.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:25:11.950000,2023-07-02 13:26:12.942,1,1.0,False,,False,True,69.942,69.94200000000001
19,0 days 01:27:32.052000,VER,1,0 days 00:01:10.160000,20.0,2.0,,,17.672,31.316,21.172,0 days 01:26:39.564000,0 days 01:27:10.880000,0 days 01:27:32.052000,293.0,229.0,270.0,293.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:26:21.892000,2023-07-02 13:27:22.884,1,1.0,False,,False,True,70.16,70.16
