,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:46.185000,VER,1,0 days 00:01:37.167000,1.0,1.0,0 days 00:14:32.453000,,,38.051,26.073,,0 days 01:03:20.151000,0 days 01:03:46.213000,300.0,254.0,246.0,296.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:08.731000,2023-07-09 14:03:09.767,1,2.0,False,,False,False,97.167,
1,0 days 01:05:19.618000,VER,1,0 days 00:01:33.433000,2.0,1.0,,,29.616,38.0,25.817,0 days 01:04:15.751000,0 days 01:04:53.751000,0 days 01:05:19.568000,290.0,255.0,244.0,291.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:46.185000,2023-07-09 14:04:47.221,1,2.0,False,,False,True,93.433,93.43299999999999
2,0 days 01:06:52.348000,VER,1,0 days 00:01:32.730000,3.0,1.0,,,29.38,37.69,25.66,0 days 01:05:48.948000,0 days 01:06:26.638000,0 days 01:06:52.298000,311.0,259.0,245.0,318.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:19.618000,2023-07-09 14:06:20.654,1,2.0,False,,False,True,92.73,92.72999999999999
3,0 days 01:08:25.128000,VER,1,0 days 00:01:32.780000,4.0,1.0,,,29.407,37.65,25.723,0 days 01:07:21.705000,0 days 01:07:59.355000,0 days 01:08:25.078000,313.0,259.0,245.0,316.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:52.348000,2023-07-09 14:07:53.384,1,2.0,False,,False,True,92.78,92.78
4,0 days 01:09:57.710000,VER,1,0 days 00:01:32.582000,5.0,1.0,,,29.338,37.403,25.841,0 days 01:08:54.416000,0 days 01:09:31.819000,0 days 01:09:57.660000,320.0,254.0,244.0,288.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:25.128000,2023-07-09 14:09:26.164,1,1.0,False,,False,True,92.582,92.582
5,0 days 01:11:30.737000,VER,1,0 days 00:01:33.027000,6.0,1.0,,,29.667,37.543,25.817,0 days 01:10:27.327000,0 days 01:11:04.870000,0 days 01:11:30.687000,290.0,255.0,245.0,285.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:57.710000,2023-07-09 14:10:58.746,1,1.0,False,,False,True,93.027,93.02700000000002
6,0 days 01:13:03.837000,VER,1,0 days 00:01:33.100000,7.0,1.0,,,29.726,37.612,25.762,0 days 01:12:00.413000,0 days 01:12:38.025000,0 days 01:13:03.787000,292.0,255.0,245.0,287.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:30.737000,2023-07-09 14:12:31.773,1,1.0,False,,False,True,93.1,93.1
7,0 days 01:14:36.721000,VER,1,0 days 00:01:32.884000,8.0,1.0,,,29.625,37.578,25.681,0 days 01:13:33.412000,0 days 01:14:10.990000,0 days 01:14:36.671000,293.0,256.0,245.0,287.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:03.837000,2023-07-09 14:14:04.873,1,1.0,False,,False,True,92.884,92.884
8,0 days 01:16:09.543000,VER,1,0 days 00:01:32.822000,9.0,1.0,,,29.78,37.489,25.553,0 days 01:15:06.451000,0 days 01:15:43.940000,0 days 01:16:09.493000,291.0,257.0,246.0,288.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:36.721000,2023-07-09 14:15:37.757,1,1.0,False,,False,True,92.822,92.822
9,0 days 01:17:42.137000,VER,1,0 days 00:01:32.594000,10.0,1.0,,,29.66,37.373,25.561,0 days 01:16:39.153000,0 days 01:17:16.526000,0 days 01:17:42.087000,293.0,257.0,245.0,287.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:16:09.543000,2023-07-09 14:17:10.579,1,1.0,False,,False,True,92.594,92.594
10,0 days 01:19:14.734000,VER,1,0 days 00:01:32.597000,11.0,1.0,,,29.586,37.463,25.548,0 days 01:18:11.673000,0 days 01:18:49.136000,0 days 01:19:14.684000,292.0,256.0,246.0,287.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:17:42.137000,2023-07-09 14:18:43.173,1,1.0,False,,False,True,92.597,92.59700000000001
11,0 days 01:20:47.421000,VER,1,0 days 00:01:32.687000,12.0,1.0,,,29.742,37.389,25.556,0 days 01:19:44.426000,0 days 01:20:21.815000,0 days 01:20:47.371000,293.0,256.0,244.0,288.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:19:14.734000,2023-07-09 14:20:15.770,1,1.0,False,,False,True,92.687,92.687
12,0 days 01:22:20.099000,VER,1,0 days 00:01:32.678000,13.0,1.0,,,29.703,37.319,25.656,0 days 01:21:17.074000,0 days 01:21:54.393000,0 days 01:22:20.049000,,256.0,244.0,287.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:20:47.421000,2023-07-09 14:21:48.457,1,1.0,False,,False,True,92.678,92.678
13,0 days 01:23:53.145000,VER,1,0 days 00:01:33.046000,14.0,1.0,,,30.031,37.422,25.593,0 days 01:22:50.080000,0 days 01:23:27.502000,0 days 01:23:53.095000,289.0,255.0,246.0,289.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:22:20.099000,2023-07-09 14:23:21.135,1,1.0,False,,False,True,93.046,93.046
14,0 days 01:25:26.135000,VER,1,0 days 00:01:32.990000,15.0,1.0,,,29.96,37.469,25.561,0 days 01:24:23.055000,0 days 01:25:00.524000,0 days 01:25:26.085000,,255.0,245.0,290.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:23:53.145000,2023-07-09 14:24:54.181,1,1.0,False,,False,True,92.99,92.99000000000001
15,0 days 01:26:58.943000,VER,1,0 days 00:01:32.808000,16.0,1.0,,,29.914,37.373,25.521,0 days 01:25:55.999000,0 days 01:26:33.372000,0 days 01:26:58.893000,291.0,257.0,245.0,291.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:25:26.135000,2023-07-09 14:26:27.171,1,1.0,False,,False,True,92.808,92.808
16,0 days 01:28:31.546000,VER,1,0 days 00:01:32.603000,17.0,1.0,,,29.803,37.276,25.524,0 days 01:27:28.696000,0 days 01:28:05.972000,0 days 01:28:31.496000,289.0,256.0,246.0,290.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:26:58.943000,2023-07-09 14:27:59.979,1,1.0,False,,False,True,92.603,92.60300000000001
17,0 days 01:30:04.053000,VER,1,0 days 00:01:32.507000,18.0,1.0,,,29.877,37.283,25.347,0 days 01:29:01.373000,0 days 01:29:38.656000,0 days 01:30:04.003000,290.0,256.0,245.0,293.0,True,MEDIUM,18.0,True,Red Bull Racing,0 days 01:28:31.546000,2023-07-09 14:29:32.582,1,1.0,False,,False,True,92.507,92.507
18,0 days 01:31:36.391000,VER,1,0 days 00:01:32.338000,19.0,1.0,,,29.799,37.24,25.299,0 days 01:30:33.802000,0 days 01:31:11.042000,0 days 01:31:36.341000,,256.0,246.0,291.0,True,MEDIUM,19.0,True,Red Bull Racing,0 days 01:30:04.053000,2023-07-09 14:31:05.089,1,1.0,False,,False,True,92.338,92.338
19,0 days 01:33:08.686000,VER,1,0 days 00:01:32.295000,20.0,1.0,,,29.772,37.273,25.25,0 days 01:32:06.113000,0 days 01:32:43.386000,0 days 01:33:08.636000,,257.0,247.0,293.0,True,MEDIUM,20.0,True,Red Bull Racing,0 days 01:31:36.391000,2023-07-09 14:32:37.427,1,1.0,False,,False,True,92.295,92.295
20,0 days 01:34:41.180000,VER,1,0 days 00:01:32.494000,21.0,1.0,,,29.903,37.239,25.352,0 days 01:33:38.539000,0 days 01:34:15.778000,0 days 01:34:41.130000,,256.0,247.0,292.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:33:08.686000,2023-07-09 14:34:09.722,1,1.0,False,,False,True,92.494,92.494
21,0 days 01:36:13.364000,VER,1,0 days 00:01:32.184000,22.0,1.0,,,29.664,37.134,25.386,0 days 01:35:10.794000,0 days 01:35:47.928000,0 days 01:36:13.314000,,257.0,246.0,292.0,True,MEDIUM,22.0,True,Red Bull Racing,0 days 01:34:41.180000,2023-07-09 14:35:42.216,1,1.0,False,,False,True,92.184,92.184
22,0 days 01:37:45.636000,VER,1,0 days 00:01:32.272000,23.0,1.0,,,29.759,37.172,25.341,0 days 01:36:43.073000,0 days 01:37:20.245000,0 days 01:37:45.586000,,256.0,246.0,294.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:36:13.364000,2023-07-09 14:37:14.400,1,1.0,False,,False,True,92.272,92.27199999999999
23,0 days 01:39:17.986000,VER,1,0 days 00:01:32.350000,24.0,1.0,,,29.872,37.108,25.37,0 days 01:38:15.458000,0 days 01:38:52.566000,0 days 01:39:17.936000,291.0,257.0,246.0,294.0,False,MEDIUM,24.0,True,Red Bull Racing,0 days 01:37:45.636000,2023-07-09 14:38:46.672,1,1.0,False,,False,True,92.35,92.35
24,0 days 01:40:50.281000,VER,1,0 days 00:01:32.295000,25.0,1.0,,,29.912,37.183,25.2,0 days 01:39:47.848000,0 days 01:40:25.031000,0 days 01:40:50.231000,289.0,257.0,247.0,297.0,False,MEDIUM,25.0,True,Red Bull Racing,0 days 01:39:17.986000,2023-07-09 14:40:19.022,1,1.0,False,,False,True,92.295,92.295
25,0 days 01:42:22.557000,VER,1,0 days 00:01:32.276000,26.0,1.0,,,29.752,37.242,25.282,0 days 01:41:19.983000,0 days 01:41:57.225000,0 days 01:42:22.507000,288.0,257.0,247.0,292.0,False,MEDIUM,26.0,True,Red Bull Racing,0 days 01:40:50.281000,2023-07-09 14:41:51.317,1,1.0,False,,False,True,92.276,92.276
26,0 days 01:43:54.695000,VER,1,0 days 00:01:32.138000,27.0,1.0,,,29.668,37.223,25.247,0 days 01:42:52.175000,0 days 01:43:29.398000,0 days 01:43:54.645000,290.0,257.0,247.0,294.0,True,MEDIUM,27.0,True,Red Bull Racing,0 days 01:42:22.557000,2023-07-09 14:43:23.593,1,1.0,False,,False,True,92.138,92.13799999999999
27,0 days 01:45:26.910000,VER,1,0 days 00:01:32.215000,28.0,1.0,,,29.826,37.244,25.145,0 days 01:44:24.471000,0 days 01:45:01.715000,0 days 01:45:26.860000,289.0,256.0,248.0,295.0,False,MEDIUM,28.0,True,Red Bull Racing,0 days 01:43:54.695000,2023-07-09 14:44:55.731,1,1.0,False,,False,True,92.215,92.21499999999999
28,0 days 01:46:59.161000,VER,1,0 days 00:01:32.251000,29.0,1.0,,,29.871,37.266,25.114,0 days 01:45:56.731000,0 days 01:46:33.997000,0 days 01:46:59.111000,290.0,257.0,248.0,295.0,False,MEDIUM,29.0,True,Red Bull Racing,0 days 01:45:26.910000,2023-07-09 14:46:27.946,1,1.0,False,,False,True,92.251,92.251
29,0 days 01:48:31.524000,VER,1,0 days 00:01:32.363000,30.0,1.0,,,29.844,37.229,25.29,0 days 01:47:28.955000,0 days 01:48:06.184000,0 days 01:48:31.474000,289.0,257.0,247.0,293.0,False,MEDIUM,30.0,True,Red Bull Racing,0 days 01:46:59.161000,2023-07-09 14:48:00.197,1,1.0,False,,False,True,92.363,92.363
30,0 days 01:50:03.912000,VER,1,0 days 00:01:32.388000,31.0,1.0,,,29.905,37.23,25.253,0 days 01:49:01.379000,0 days 01:49:38.609000,0 days 01:50:03.862000,,258.0,248.0,293.0,False,MEDIUM,31.0,True,Red Bull Racing,0 days 01:48:31.524000,2023-07-09 14:49:32.560,1,1.0,False,,False,True,92.388,92.38799999999999
31,0 days 01:51:36.122000,VER,1,0 days 00:01:32.210000,32.0,1.0,,,29.879,37.136,25.195,0 days 01:50:33.741000,0 days 01:51:10.877000,0 days 01:51:36.072000,,259.0,248.0,293.0,False,MEDIUM,32.0,True,Red Bull Racing,0 days 01:50:03.912000,2023-07-09 14:51:04.948,1,1.0,False,,False,True,92.21,92.21000000000001
32,0 days 01:53:34.733000,VER,1,0 days 00:01:58.611000,33.0,1.0,,0 days 01:53:28.742000,38.163,50.088,30.36,0 days 01:52:14.235000,0 days 01:53:04.323000,0 days 01:53:34.683000,189.0,227.0,,236.0,False,MEDIUM,33.0,True,Red Bull Racing,0 days 01:51:36.122000,2023-07-09 14:52:37.158,264,1.0,False,,False,False,118.611,118.611
33,0 days 01:56:33.218000,VER,1,,34.0,2.0,0 days 01:53:57.789000,,71.057,65.568,41.846,0 days 01:54:45.866000,0 days 01:55:51.396000,0 days 01:56:33.255000,133.0,127.0,149.0,139.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:53:34.733000,2023-07-09 14:54:35.769,4,1.0,False,,False,False,,178.471
34,0 days 01:59:00.989000,VER,1,0 days 00:02:27.771000,35.0,2.0,,,48.617,59.552,39.602,0 days 01:57:21.785000,0 days 01:58:21.337000,0 days 01:59:00.939000,126.0,202.0,148.0,222.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:56:33.218000,2023-07-09 14:57:34.254,4,1.0,False,,False,False,147.771,147.771
