,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:26.782000,VER,1,0 days 00:01:12.722000,1.0,1.0,0 days 00:22:17.902000,,,31.134,21.189,,0 days 01:03:05.635000,0 days 01:03:26.859000,292.0,228.0,268.0,291.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:13.798000,2022-07-10 13:03:13.807,1,1.0,False,,False,False,72.722,
1,0 days 01:04:37.155000,VER,1,0 days 00:01:10.373000,2.0,1.0,,,17.82,31.421,21.132,0 days 01:03:44.602000,0 days 01:04:16.023000,0 days 01:04:37.155000,287.0,226.0,269.0,284.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:26.782000,2022-07-10 13:04:26.791,1,1.0,False,,False,True,70.373,70.373
2,0 days 01:05:47.320000,VER,1,0 days 00:01:10.165000,3.0,1.0,,,17.693,31.281,21.191,0 days 01:04:54.848000,0 days 01:05:26.129000,0 days 01:05:47.320000,289.0,224.0,270.0,284.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:37.155000,2022-07-10 13:05:37.164,1,1.0,False,,False,True,70.165,70.165
3,0 days 01:06:57.448000,VER,1,0 days 00:01:10.128000,4.0,1.0,,,17.663,31.395,21.07,0 days 01:06:04.983000,0 days 01:06:36.378000,0 days 01:06:57.448000,288.0,224.0,271.0,285.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:05:47.320000,2022-07-10 13:06:47.329,1,1.0,False,,False,True,70.128,70.128
4,0 days 01:08:07.708000,VER,1,0 days 00:01:10.260000,5.0,1.0,,,17.751,31.249,21.26,0 days 01:07:15.199000,0 days 01:07:46.448000,0 days 01:08:07.708000,,223.0,269.0,285.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:06:57.448000,2022-07-10 13:07:57.457,1,1.0,False,,False,True,70.26,70.26
5,0 days 01:09:18.065000,VER,1,0 days 00:01:10.357000,6.0,1.0,,,17.807,31.295,21.255,0 days 01:08:25.515000,0 days 01:08:56.810000,0 days 01:09:18.065000,289.0,224.0,270.0,288.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:07.708000,2022-07-10 13:09:07.717,1,1.0,False,,False,True,70.357,70.357
6,0 days 01:10:28.624000,VER,1,0 days 00:01:10.559000,7.0,1.0,,,17.791,31.488,21.28,0 days 01:09:35.856000,0 days 01:10:07.344000,0 days 01:10:28.624000,290.0,224.0,270.0,289.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:18.065000,2022-07-10 13:10:18.074,1,1.0,False,,False,True,70.559,70.559
7,0 days 01:11:39.387000,VER,1,0 days 00:01:10.763000,8.0,1.0,,,17.757,31.575,21.431,0 days 01:10:46.381000,0 days 01:11:17.956000,0 days 01:11:39.387000,300.0,222.0,268.0,288.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:10:28.624000,2022-07-10 13:11:28.633,1,1.0,False,,False,True,70.763,70.763
8,0 days 01:12:50.234000,VER,1,0 days 00:01:10.847000,9.0,1.0,,,17.822,31.672,21.353,0 days 01:11:57.209000,0 days 01:12:28.881000,0 days 01:12:50.234000,295.0,223.0,269.0,286.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:11:39.387000,2022-07-10 13:12:39.396,1,1.0,False,,False,True,70.847,70.84700000000001
9,0 days 01:14:01.630000,VER,1,0 days 00:01:11.396000,10.0,1.0,,,17.806,32.182,21.408,0 days 01:13:08.040000,0 days 01:13:40.222000,0 days 01:14:01.630000,293.0,220.0,269.0,293.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:12:50.234000,2022-07-10 13:13:50.243,1,1.0,False,,False,True,71.396,71.396
