,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:32.290000,VER,1,0 days 00:01:27.912000,1.0,1.0,0 days 00:16:53.904000,,,30.37,23.495,,0 days 01:03:08.823000,0 days 01:03:32.354000,274.0,235.0,244.0,243.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:02:04.106000,2023-07-23 13:03:06.134,2,1.0,False,,False,False,87.912,
1,0 days 01:04:57.447000,VER,1,0 days 00:01:25.157000,2.0,1.0,,,30.527,30.848,23.782,0 days 01:04:02.817000,0 days 01:04:33.665000,0 days 01:04:57.447000,272.0,229.0,244.0,285.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:03:32.290000,2023-07-23 13:04:34.318,1,1.0,False,,False,True,85.157,85.157
2,0 days 01:06:22.517000,VER,1,0 days 00:01:25.070000,3.0,1.0,,,30.491,30.724,23.855,0 days 01:05:27.938000,0 days 01:05:58.662000,0 days 01:06:22.517000,269.0,230.0,242.0,287.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 01:04:57.447000,2023-07-23 13:05:59.475,1,1.0,False,,False,True,85.07,85.07000000000001
3,0 days 01:07:47.059000,VER,1,0 days 00:01:24.542000,4.0,1.0,,,30.403,30.495,23.644,0 days 01:06:52.920000,0 days 01:07:23.415000,0 days 01:07:47.059000,273.0,232.0,243.0,,True,MEDIUM,7.0,False,Red Bull Racing,0 days 01:06:22.517000,2023-07-23 13:07:24.545,1,1.0,False,,False,True,84.542,84.542
4,0 days 01:09:11.902000,VER,1,0 days 00:01:24.843000,5.0,1.0,,,30.395,30.707,23.741,0 days 01:08:17.454000,0 days 01:08:48.161000,0 days 01:09:11.902000,272.0,231.0,242.0,286.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:07:47.059000,2023-07-23 13:08:49.087,1,1.0,False,,False,True,84.843,84.843
5,0 days 01:10:36.498000,VER,1,0 days 00:01:24.596000,6.0,1.0,,,30.248,30.586,23.762,0 days 01:09:42.150000,0 days 01:10:12.736000,0 days 01:10:36.498000,276.0,227.0,243.0,284.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:09:11.902000,2023-07-23 13:10:13.930,1,1.0,False,,False,True,84.596,84.596
6,0 days 01:12:00.985000,VER,1,0 days 00:01:24.487000,7.0,1.0,,,30.235,30.487,23.765,0 days 01:11:06.733000,0 days 01:11:37.220000,0 days 01:12:00.985000,,230.0,243.0,,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:10:36.498000,2023-07-23 13:11:38.526,1,1.0,False,,False,True,84.487,84.487
7,0 days 01:13:25.494000,VER,1,0 days 00:01:24.509000,8.0,1.0,,,30.362,30.468,23.679,0 days 01:12:31.347000,0 days 01:13:01.815000,0 days 01:13:25.494000,277.0,230.0,241.0,286.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:12:00.985000,2023-07-23 13:13:03.013,1,1.0,False,,False,True,84.509,84.509
8,0 days 01:14:49.931000,VER,1,0 days 00:01:24.437000,9.0,1.0,,,30.271,30.533,23.633,0 days 01:13:55.765000,0 days 01:14:26.298000,0 days 01:14:49.931000,,231.0,242.0,,True,MEDIUM,12.0,False,Red Bull Racing,0 days 01:13:25.494000,2023-07-23 13:14:27.522,1,1.0,False,,False,True,84.437,84.437
9,0 days 01:16:14.336000,VER,1,0 days 00:01:24.405000,10.0,1.0,,,30.29,30.405,23.71,0 days 01:15:20.221000,0 days 01:15:50.626000,0 days 01:16:14.336000,,230.0,244.0,285.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 01:14:49.931000,2023-07-23 13:15:51.959,1,1.0,False,,False,True,84.405,84.405
10,0 days 01:17:38.798000,VER,1,0 days 00:01:24.462000,11.0,1.0,,,30.318,30.352,23.792,0 days 01:16:44.654000,0 days 01:17:15.006000,0 days 01:17:38.798000,278.0,232.0,241.0,284.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:16:14.336000,2023-07-23 13:17:16.364,1,1.0,False,,False,True,84.462,84.462
11,0 days 01:19:03.104000,VER,1,0 days 00:01:24.306000,12.0,1.0,,,30.274,30.285,23.747,0 days 01:18:09.072000,0 days 01:18:39.357000,0 days 01:19:03.104000,277.0,232.0,242.0,285.0,True,MEDIUM,15.0,False,Red Bull Racing,0 days 01:17:38.798000,2023-07-23 13:18:40.826,1,1.0,False,,False,True,84.306,84.306
