,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:42.621000,VER,1,0 days 00:01:32.198000,1.0,1.0,0 days 00:22:37.624000,,,38.449,33.249,,0 days 01:03:09.454000,0 days 01:03:42.693000,283.0,286.0,210.0,301.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:10.161000,2022-11-20 13:03:11.207,1,1.0,False,,False,False,92.198,
1,0 days 01:05:13.162000,VER,1,0 days 00:01:30.541000,2.0,1.0,,,18.571,38.647,33.323,0 days 01:04:01.192000,0 days 01:04:39.839000,0 days 01:05:13.162000,279.0,288.0,211.0,295.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:42.621000,2022-11-20 13:04:43.667,1,1.0,False,,False,True,90.541,90.541
2,0 days 01:06:43.130000,VER,1,0 days 00:01:29.968000,3.0,1.0,,,18.562,38.526,32.88,0 days 01:05:31.724000,0 days 01:06:10.250000,0 days 01:06:43.130000,,293.0,211.0,297.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:13.162000,2022-11-20 13:06:14.208,1,1.0,False,,False,True,89.968,89.96800000000002
3,0 days 01:08:13.498000,VER,1,0 days 00:01:30.368000,4.0,1.0,,,18.512,38.573,33.283,0 days 01:07:01.642000,0 days 01:07:40.215000,0 days 01:08:13.498000,280.0,289.0,211.0,295.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:43.130000,2022-11-20 13:07:44.176,1,1.0,False,,False,True,90.368,90.368
4,0 days 01:09:44,VER,1,0 days 00:01:30.502000,5.0,1.0,,,18.492,38.754,33.256,0 days 01:08:31.990000,0 days 01:09:10.744000,0 days 01:09:44,,289.0,210.0,295.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:13.498000,2022-11-20 13:09:14.544,1,1.0,False,,False,True,90.502,90.502
5,0 days 01:11:14.567000,VER,1,0 days 00:01:30.567000,6.0,1.0,,,18.474,38.776,33.317,0 days 01:10:02.474000,0 days 01:10:41.250000,0 days 01:11:14.567000,,293.0,210.0,292.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:44,2022-11-20 13:10:45.046,1,1.0,False,,False,True,90.567,90.56700000000001
6,0 days 01:12:45.228000,VER,1,0 days 00:01:30.661000,7.0,1.0,,,18.589,38.776,33.296,0 days 01:11:33.156000,0 days 01:12:11.932000,0 days 01:12:45.228000,,295.0,209.0,299.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:14.567000,2022-11-20 13:12:15.613,1,1.0,False,,False,True,90.661,90.661
7,0 days 01:14:15.919000,VER,1,0 days 00:01:30.691000,8.0,1.0,,,18.512,38.813,33.366,0 days 01:13:03.740000,0 days 01:13:42.553000,0 days 01:14:15.919000,281.0,291.0,206.0,296.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:12:45.228000,2022-11-20 13:13:46.274,1,1.0,False,,False,True,90.691,90.691
8,0 days 01:15:46.520000,VER,1,0 days 00:01:30.601000,9.0,1.0,,,18.482,38.807,33.312,0 days 01:14:34.401000,0 days 01:15:13.208000,0 days 01:15:46.520000,,294.0,209.0,299.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:15.919000,2022-11-20 13:15:16.965,1,1.0,False,,False,True,90.601,90.601
9,0 days 01:17:17.141000,VER,1,0 days 00:01:30.621000,10.0,1.0,,,18.434,38.798,33.389,0 days 01:16:04.954000,0 days 01:16:43.752000,0 days 01:17:17.141000,282.0,293.0,208.0,301.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:15:46.520000,2022-11-20 13:16:47.566,1,1.0,False,,False,True,90.621,90.62100000000001
