,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:19.094000,VER,1,0 days 00:01:32.564000,1.0,1.0,0 days 00:21:16.713000,,,42.188,26.222,,0 days 01:02:53.002000,0 days 01:03:19.145000,308.0,80.0,213.0,213.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:01:46.277000,2022-11-13 18:02:47.303,24,3.0,False,,False,False,92.564,
1,0 days 01:05:13.189000,VER,1,0 days 00:01:54.095000,2.0,1.0,,,25.886,61.448,26.761,0 days 01:03:44.972000,0 days 01:04:46.420000,0 days 01:05:13.181000,239.0,144.0,231.0,226.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:19.094000,2022-11-13 18:04:20.120,4,3.0,False,,False,False,114.095,114.095
2,0 days 01:07:12.805000,VER,1,0 days 00:01:59.616000,3.0,1.0,,,30.869,61.894,26.853,0 days 01:05:44.050000,0 days 01:06:45.944000,0 days 01:07:12.797000,199.0,195.0,152.0,103.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:05:13.189000,2022-11-13 18:06:14.215,4,3.0,False,,False,False,119.616,119.61600000000001
3,0 days 01:09:13.752000,VER,1,0 days 00:02:00.947000,4.0,1.0,,,30.755,63.1,27.092,0 days 01:07:43.552000,0 days 01:08:46.652000,0 days 01:09:13.744000,193.0,200.0,174.0,160.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:07:12.805000,2022-11-13 18:08:13.831,4,3.0,False,,False,False,120.947,120.947
4,0 days 01:11:07.133000,VER,1,0 days 00:01:53.381000,5.0,1.0,,,29.986,58.408,24.987,0 days 01:09:43.730000,0 days 01:10:42.138000,0 days 01:11:07.125000,150.0,175.0,253.0,181.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:09:13.752000,2022-11-13 18:10:14.778,4,3.0,False,,False,False,113.381,113.381
5,0 days 01:13:11.182000,VER,1,0 days 00:02:04.049000,6.0,1.0,,,29.374,62.113,32.562,0 days 01:11:36.499000,0 days 01:12:38.612000,0 days 01:13:11.174000,179.0,101.0,240.0,164.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:11:07.133000,2022-11-13 18:12:08.159,4,3.0,False,,False,False,124.049,124.04899999999999
6,0 days 01:14:37.112000,VER,1,0 days 00:01:25.930000,7.0,1.0,,0 days 01:14:34.180000,23.148,41.137,21.645,0 days 01:13:34.322000,0 days 01:14:15.459000,0 days 01:14:37.104000,287.0,232.0,,283.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:13:11.182000,2022-11-13 18:14:12.208,2,17.0,False,,False,False,85.93,85.92999999999999
7,0 days 01:16:18.164000,VER,1,0 days 00:01:41.052000,8.0,2.0,0 days 01:15:05.199000,,44.545,39.037,17.47,0 days 01:15:21.649000,0 days 01:16:00.686000,0 days 01:16:18.156000,296.0,243.0,302.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:14:37.112000,2022-11-13 18:15:38.138,1,17.0,False,,False,False,101.052,101.05199999999999
8,0 days 01:17:33.728000,VER,1,0 days 00:01:15.564000,9.0,2.0,,,19.349,38.704,17.511,0 days 01:16:37.505000,0 days 01:17:16.209000,0 days 01:17:33.720000,304.0,244.0,302.0,286.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:16:18.164000,2022-11-13 18:17:19.190,1,17.0,False,,False,True,75.564,75.564
9,0 days 01:18:49.594000,VER,1,0 days 00:01:15.866000,10.0,2.0,,,19.285,39.093,17.488,0 days 01:17:53.005000,0 days 01:18:32.098000,0 days 01:18:49.586000,305.0,242.0,304.0,294.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:17:33.728000,2022-11-13 18:18:34.754,1,17.0,False,,False,True,75.866,75.866
